source,doi,title,abstract,venue,year,citations,authors,url,filter_status
crossref,10.1002/for.2810,Multistage optimization filter for trend‐based short‐term forecasting,"Abstract A new method is proposed to estimate the long‐term seasonal component by a multistage optimization filter with a leading phase shift (MOPS). It can be utilized to provide better predictions in case of the seasonal component autoregressive (SCAR) model, where data are filtered/decomposed into trend and remainder components and then forecasts for constituent components generated separately and later combined. This reinforces the importance of trend estimation filtering/decomposition methods, which are scarce and only few methods, primarily wavelet decomposition, have improved upon the forecasts generated by statistical linear models. We contribute to the literature by introducing a new trend estimation method, and the forecast results are compared with the most popular trend estimation methods, such as frequency filters, wavelet decomposition, empirical mode decomposition (EMD), and Hodrick–Prescott (HP) filter, through their performance in generating short‐term forecasts for day‐ahead electricity prices. Our method for trend estimation performs better in terms of providing short‐term forecasts as compared with some well‐known methods, and the best forecast, according to the Diebold and Mariano (1995) test, is obtained by using our MOPS filter with annual trend period length.",Journal of Forecasting,2022,7,"Zafar, Usman; Kellard, Neil; Vinogradov, Dmitri",https://doi.org/10.1002/for.2810,drop:no_volatility_term
crossref,10.1002/for.3159,Issue Information,No abstract is available for this article.,Journal of Forecasting,2025,0,,https://doi.org/10.1002/for.3159,drop:no_volatility_term
crossref,10.1002/for.2861,Issue Information,No abstract is available for this article.,Journal of Forecasting,2023,1,,https://doi.org/10.1002/for.2861,drop:no_volatility_term
crossref,10.1002/for.2304,ERRATUM,,Journal of Forecasting,2018,0,,https://doi.org/10.1002/for.2304,drop:no_volatility_term
crossref,10.1002/for.2695,"Fiscal transparency, fiscal forecasting and budget credibility in developing countries","Abstract Fiscal transparency entails fiscal information disclosure, ensuring good quality of such information, public and parliamentary scrutiny, and the oversight of fiscal risks, while the concept of budget credibility involves an assessment of the extent of conformity of budgetary outturn to the planned forecasts. There are two main channels through which fiscal transparency can affect budget credibility: politicians' incentives to manipulate fiscal forecasts or deviate from the plans, and the uncertainty‐reducing effect in the light of fiscal risks. This study empirically examines the impact of the dimensions of fiscal transparency on deviations from budgetary forecasts, and hence budget credibility, in developing countries using regression analysis. The results show that an improvement in the oversight of fiscal risks arising from public sector entities plays a very significant role in decreasing the deviations from budgetary forecasts in developing countries. The study accords with the view that a relatively less important weight should be attached to the fiscal disclosure component in analyzing fiscal transparency, and it sheds light on the importance of ensuring good quality of disclosed information through more independence of audit bodies in developing countries in order to enhance the credibility of their budgets.",Journal of Forecasting,2021,21,"ElBerry, Nada Azmy; Goeminne, Stijn",https://doi.org/10.1002/for.2695,drop:no_volatility_term
crossref,10.1002/for.3217,Modelling and Forecasting of Exchange Rate Pairs Using the Kalman Filter,"ABSTRACT Developing and employing practically useful and easy to calibrate models for prediction of exchange rates remains a challenging task, especially for highly volatile emerging market currencies. In this paper, we propose a novel approach for joint prediction of correlated exchange rates for two different currencies with respect to the same base currency. For this purpose, we reformulate a generalized version of a bivariate ARMA model into a state space model and use the Kalman filter for estimation and forecasting of the underlying exchange rates as latent variables. With extensive numerical experiments spanning 18 different exchange rates (across both emerging markets, developing and developed economies), we demonstrate that our approach consistently outperforms univariate ARMA models as well as the random walk model in short term out‐of‐sample prediction for various exchange rate pairs. Our study fills a gap in the empirical finance literature in terms of robust, explainable, accurate, and easy to calibrate models for forecasting correlated exchange rates. The proposed methodology has applications in exchange rate risk management as well as pricing of financial derivatives based on two exchange rates.",Journal of Forecasting,2025,1,"Date, Paresh; Maunthrooa, Janeeta",https://doi.org/10.1002/for.3217,drop:no_volatility_term
crossref,10.1002/for.70062,A Novel Approach to Forecasting After Large Forecast Errors,"ABSTRACT A sequence of increasingly large same‐sign 1‐step‐ahead forecast errors are most likely due to a sudden unexpected shift. Large forecast errors can be expensive, but also contain valuable information. Impulse indicators acting as intercept corrections to set forecasts back on track can be quickly tested for replacing outliers, a location shift or broken trend, greatly improving forecast accuracy. The analysis is applied to forecasting the UK's annual consumer price inflation which rose rapidly from mid‐2021 to over 9% in 2022 after a series of essentially unpredictable shocks led to large forecast errors by the Bank of England.",Journal of Forecasting,2026,0,"Castle, Jennifer L.; Doornik, Jurgen A.; Hendry, David F.",https://doi.org/10.1002/for.70062,drop:no_volatility_term
crossref,10.1002/for.3195,Forecasting Expected Shortfall and Value‐at‐Risk With Cross‐Sectional Aggregation,"ABSTRACT The combination of the conditional autoregressive value‐at‐risk (CAViaR) process with the Fissler–Ziegel (FZ) loss function generates a recently emerging framework (CAViaR‐FZ) for forecasting value‐at‐risk (VaR) and expected shortfall (ES). However, existing CAViaR‐FZ models typically overlook the presence of long‐range dependence, a stylized fact of financial time series. This paper proposes a long‐memory CAViaR‐FZ model using the cross‐sectional aggregation (CSA) method. The CSA method is well‐recognized for its ability to generate a long‐memory process by aggregating an infinite number of short‐memory processes cross‐sectionally. The proposed CSA‐CAViaR‐FZ model flexibly captures long‐memory dynamics in both VaR and ES and includes the original short‐memory CAViaR‐FZ model as a special case. Simulation and empirical results demonstrate that the proposed model outperforms various competing models.",Journal of Forecasting,2025,0,"Wang, Jie; Wang, Yongqiao",https://doi.org/10.1002/for.3195,drop:no_volatility_term
crossref,10.1002/for.2692,CORRIGENDUM,,Journal of Forecasting,2020,0,,https://doi.org/10.1002/for.2692,drop:no_volatility_term
crossref,10.1002/for.2997,Issue Information,No abstract is available for this article.,Journal of Forecasting,2024,0,,https://doi.org/10.1002/for.2997,drop:no_volatility_term
crossref,10.1002/for.2995,Issue Information,No abstract is available for this article.,Journal of Forecasting,2024,0,,https://doi.org/10.1002/for.2995,drop:no_volatility_term
crossref,10.1002/for.3067,Forecasting exchange rates: An iterated combination constrained predictor approach,"Abstract Forecasting exchange rate returns is of great interest to both academics and practitioners. In this study, we forecast daily exchange rate returns of six widely traded currencies using combination and dimensionality reduction methods. We propose a hybrid iterated combination with constrained predictor approach. In addition, we examine the impact of positivity constraints on the forecasting ability of each method. Our results indicate that the proposed hybrid method outperforms the simple linear bivariate method and both the iterated combination and the predictor constrained approaches. Positivity constraints significantly improve the forecasting ability of all methods.",Journal of Forecasting,2024,0,"Alexandridis, Antonios K.; Panopoulou, Ekaterini; Souropanis, Ioannis",https://doi.org/10.1002/for.3067,drop:no_volatility_term
crossref,10.1002/for.2932,A new model for forecasting VaR and ES using intraday returns aggregation,"Abstract This paper proposes a new risk measurement model that directly incorporate information from high‐frequency data to predict daily Value‐at‐Risk and expected shortfall. In this model, Regular‐Vine copula and Monte Carlo simulation are applied to produce the predicted intraday returns that have nonlinear dependences. And the time‐varying marginal distribution of intraday returns is estimated under the framework of generalized autoregressive score. The model is so named R‐Vine‐Copula‐GAS (abbreviated as RVCGAS). The predicted intraday returns in the same day are added up to obtain the daily return and form its empirical distribution. The risk measurements are then calculated based on this simulated distribution. An empirical analysis is conducted using data from the index in China's stock market and some of its constituents, and the effects of the proposed model and several Benchmark models are compared through some backtestings. The results show that RVCGAS has an advantage over others in predicting tail risk when the risk level is high, since it could cover more risky returns and reduce more costs.",Journal of Forecasting,2023,1,"Song, Shijia; Li, Handong",https://doi.org/10.1002/for.2932,drop:no_volatility_term
crossref,10.1002/for.3103,Electricity price forecasting using quantile regression averaging with nonconvex regularization,"Abstract Electricity price forecasting (EPF) is an emergent research domain that focuses on forecasting the future electricity market price both deterministically and probabilistically. EPF has attracted enormous interest from both practitioners and scholars since the deregulation of the power market and wide applications of renewable energy sources, such as wind and solar energy. However, forecasting the electricity price accurately and efficiently is an extremely challenging task because of its high volatility, randomness, and fluctuation. Although quantile regression averaging (QRA) has been demonstrated to be efficacious in probabilistic EPF since the global energy forecasting competition in 2014 (GEFCom2014), it is sensitive to nuisance variables especially when the number of variables is large. The forecasting accuracy will be negatively affected by these nuisance variables. To address these challenges, this study investigates a nonconvex regularized QRA in probabilistic forecasting. Two types of nonconvex regularized QRA select the important inputs obtained from point forecasting to obtain more accurate forecasting outcomes. To demonstrate the effectiveness of the proposed EPF model, two real datasets from the European power market are considered.",Journal of Forecasting,2024,4,"Jiang, He; Dong, Yao; Wang, Jianzhou",https://doi.org/10.1002/for.3103,drop:no_comparison_term
crossref,10.1002/for.2814,Time‐varying trend models for forecasting inflation in Australia,"Abstract We investigate whether a class of trend models, which decompose a time series into an underlying trend and transitory component, with various error term structures can improve upon the forecast performance of commonly used time series models when forecasting consumer price index (CPI) inflation in Australia. The main result is that trend models tend to provide more accurate point and density forecasts at medium to long forecasting horizons compared with conventional autoregressive and Phillips curve models. The best medium‐term point forecasts come from a trend model with stochastic volatility in the transitory component and that with a moving average component, whereas long‐run point forecasts are better made by trend models with stochastic volatilities and a moving average component. In a full sample study, we also find that trend models can capture various dynamics in periods of significance to the Australian economy which conventional models cannot. This includes the dramatic reduction in inflation when the RBA adopted inflation targeting, a one‐off 10% Goods and Services Tax inflationary episode in 2000, and then gradually decline in inflation since 2014.",Journal of Forecasting,2022,5,"Guo, Na; Zhang, Bo; Cross, Jamie L.",https://doi.org/10.1002/for.2814,pass
crossref,10.1002/for.2741,Forecasting systemic risk in portfolio selection: The role of technical trading rules,"Abstract This paper proposes and implements methods for determining whether incorporating technical trading rules accurately forecasts systemic risk and improves the performance of out‐of‐sample portfolios. The proposed methodology considers various trading rules for forecasting and addressing potential systemic risk in portfolio selection problems. The method incorporates major trading rules as early warning systems or alarm rules to detect market failure within diverse reward–risk measures. Methodologically, the alarm rules are integrated into portfolio selection strategies that predict returns using multifactor models. Therefore, the portfolio strategies combine the predictive ability of both technical trading rules and multifactor models. Empirical analyses validate the suggested approaches and evaluate the impacts of different technical trading rules on portfolio selection problems. This paper compares the ex ante sample paths of several portfolio strategies aiming to maximize portfolio wealth using either reward–risk or drawdown‐based performance measures. The results show that the proposed methodologies outperform the classic approach in terms of out‐of‐sample performance.",Journal of Forecasting,2021,14,"Kouaissah, Noureddine; Hocine, Amin",https://doi.org/10.1002/for.2741,drop:no_volatility_term
crossref,10.1002/for.3000,Forecasting intraday financial time series with sieve bootstrapping and dynamic updating,"Abstract Intraday financial data often take the form of a collection of curves that can be observed sequentially over time, such as intraday stock price curves. These curves can be viewed as a time series of functions observed on equally spaced and dense grids. Due to the curse of dimensionality, high‐dimensional data pose challenges from a statistical aspect; however, it also provides opportunities to analyze a rich source of information so that the dynamic changes within short‐time intervals can be better understood. We consider a sieve bootstrap method to construct 1‐day‐ahead point and interval forecasts in a model‐free way. As we sequentially observe new data, we also implement two dynamic updating methods to update point and interval forecasts for achieving improved accuracy. The forecasting methods are validated through an empirical study of 5‐min cumulative intraday returns of the S&amp;P/ASX All Ordinaries Index.",Journal of Forecasting,2023,3,"Shang, Han Lin; Ji, Kaiying",https://doi.org/10.1002/for.3000,drop:no_volatility_term
crossref,10.1002/for.70031,Can Attention Mechanisms Improve Carbon Price Forecasting Accuracy?,"ABSTRACT This study examines the predictive performance of Feature Attention (FA), Temporal Attention (TA), and Feature and Temporal Attention (FATA) within Gated Recurrent Unit (GRU), Long Short‐Term Memory (LSTM), and Transformer architectures using price data from four Chinese carbon markets (CEA, BEA, GDEA, and HBEA). Drawing on multiple forecasting accuracy measures and significance testing, the results show that attention mechanisms can enhance forecasting accuracy in certain market‐model combinations, but their effectiveness critically depends on the alignment among market conditions, model architectures, and attention mechanisms. In markets with high average prices and volatility, FA achieves the best performance with GRU and LSTM; in lower price, moderately volatile markets, TA combined with Transformer is more effective; and in the high‐price, high‐volatility CEA market, FATA shows promise when paired with Transformer, but lacks robustness across markets. These findings highlight a pronounced compatibility pattern among market conditions, model architectures, and attention mechanisms, suggesting that the deployment of attention mechanisms in carbon price forecasting should be tailored to specific market conditions and model structures rather than applied universally.",Journal of Forecasting,2026,0,"Yao, Ting; Salloum, Charbel; Jiang, Yong; Ren, Yi‐Shuai",https://doi.org/10.1002/for.70031,pass
crossref,10.1002/for.2517,Forecasting US GNP growth: The role of uncertainty,"Abstract A large number of models have been developed in the literature to analyze and forecast changes in output dynamics. The objective of this paper was to compare the predictive ability of univariate and bivariate models, in terms of forecasting US gross national product (GNP) growth at different forecasting horizons, with the bivariate models containing information on a measure of economic uncertainty. Based on point and density forecast accuracy measures, as well as on equal predictive ability (EPA) and superior predictive ability (SPA) tests, we evaluate the relative forecasting performance of different model specifications over the quarterly period of 1919:Q2 until 2014:Q4. We find that the economic policy uncertainty (EPU) index should improve the accuracy of US GNP growth forecasts in bivariate models. We also find that the EPU exhibits similar forecasting ability to the term spread and outperforms other uncertainty measures such as the volatility index and geopolitical risk in predicting US recessions. While the Markov switching time‐varying parameter vector autoregressive model yields the lowest values for the root mean squared error in most cases, we observe relatively low values for the log predictive density score, when using the Bayesian vector regression model with stochastic volatility. More importantly, our results highlight the importance of uncertainty in forecasting US GNP growth rates.",Journal of Forecasting,2018,23,"Segnon, Mawuli; Gupta, Rangan; Bekiros, Stelios; Wohar, Mark E.",https://doi.org/10.1002/for.2517,pass
crossref,10.1002/for.3286,GARCHX‐NoVaS: A Bootstrap‐Based Approach of Forecasting for GARCHX Models,"ABSTRACT In this work, we explore the forecasting ability of a recently proposed normalizing and variance‐stabilizing (NoVaS) transformation with the possible inclusion of exogenous variables in GARCH volatility specification. The NoVaS prediction method, which is inspired by a model‐free prediction principle, has generally shown more accurate, stable and robust (to misspecifications) performance than that compared with classical GARCH‐type methods. We derive the NoVaS transformation needed to include exogenous covariates and then construct the corresponding prediction procedure for multiple exogenous covariates. We address both point and interval forecasts using NoVaS type methods. We show through extensive simulation studies that bolster our claim that the NoVaS method outperforms traditional ones, especially for long‐term time aggregated predictions. We also exhibit how our method could utilize geopolitical risks in forecasting volatility in national stock market indices. From an applied point‐of‐view for practitioners and policymakers, our methodology provides a distribution‐free approach to forecast volatility and sheds light on how to leverage extra knowledge such as fundamentals‐ and sentiments‐based information to improve the prediction accuracy of market volatility.",Journal of Forecasting,2025,1,"Wu, Kejin; Karmakar, Sayar; Gupta, Rangan",https://doi.org/10.1002/for.3286,pass
crossref,10.1002/for.2701,Issue Information,No abstract is available for this article.,Journal of Forecasting,2021,0,,https://doi.org/10.1002/for.2701,drop:no_volatility_term
crossref,10.1002/for.2704,Issue Information,No abstract is available for this article.,Journal of Forecasting,2021,0,,https://doi.org/10.1002/for.2704,drop:no_volatility_term
crossref,10.1002/for.2868,Issue Information,No abstract is available for this article.,Journal of Forecasting,2023,0,,https://doi.org/10.1002/for.2868,drop:no_volatility_term
crossref,10.1002/for.2634,The wavelet scaling approach to forecasting: Verification on a large set of Noisy data,"Abstract In the paper, we undertake a detailed empirical verification of wavelet scaling as a forecasting method through its application to a large set of noisy data. The method consists of two steps. In the first, the data are smoothed with the help of wavelet estimators of stochastic signals based on the idea of scaling, and, in the second, an AR(I)MA model is built on the estimated signal. This procedure is compared with some alternative approaches encompassing exponential smoothing, moving average, AR(I)MA and regularized AR models. Special attention is given to the ways of treating boundary regions in the wavelet signal estimation and to the use of biased, weakly biased and unbiased estimators of the wavelet variance. According to a collection of popular forecast accuracy measures, when applied to noisy time series with a high level of noise, wavelet scaling is able to outperform the other forecasting procedures, although this conclusion applies mainly to longer time series and not uniformly across all the examined accuracy measures.",Journal of Forecasting,2020,5,"Bruzda, Joanna",https://doi.org/10.1002/for.2634,drop:no_volatility_term
crossref,10.1002/for.3127,A systematic vector autoregressive framework for modeling and forecasting mortality,"Abstract Recently, there is a new stream of mortality forecasting research using the vector autoregressive model with different sparse model specifications. They have been shown to be able to overcome some of the limitations of the more traditional factor models such as the Lee–Carter model. In this paper, we propose a more generalized systematic vector autoregressive framework for modeling and forecasting mortality. Under this framework, we progressively increase the sophistication of the diagonal parameters in the autoregressive matrix and formulate a range of model structures in a systematic fashion. They offer much flexibility for capturing the mortality patterns of different populations. The resulting models produce age coherent forecasts, and their parameters are reasonably interpretable for modelers, demographers, and industry practitioners. Using the mortality data of Australia, Japan, New Zealand, and Taiwan, we demonstrate that the proposed approach generates appropriate forecasts of mortality rates and life expectancies and produces very good performance in the fitting and out‐of‐sample analysis.",Journal of Forecasting,2024,0,"Li, Jackie; Liu, Jia; Butt, Adam",https://doi.org/10.1002/for.3127,drop:no_volatility_term
crossref,10.1002/for.3025,A Bayesian realized threshold measurement GARCH framework for financial tail risk forecasting,"Abstract This paper proposes an innovative threshold measurement equation to be employed in a Realized‐Generalized Autoregressive Conditional Heteroskedastic (GARCH) framework. The proposed framework incorporates a nonlinear threshold regression specification to consider the leverage effect and model the contemporaneous dependence between the observed realized measure and hidden volatility. A Bayesian Markov chain Monte Carlo method is adapted and employed for model estimation, with its validity assessed via a simulation study. The validity of incorporating the proposed measurement equation in Realized‐GARCH type models is evaluated via an empirical study, forecasting the 1% and 2.5% Value‐at‐Risk and expected shortfall on six market indices with two different out‐of‐sample sizes. The proposed framework is shown to be capable of producing competitive tail risk forecasting results in comparison with the GARCH and Realized‐GARCH type models.",Journal of Forecasting,2024,3,"Wang, Chao; Gerlach, Richard",https://doi.org/10.1002/for.3025,pass
crossref,10.1002/for.70060,Validating Explainer Methods: A Functionally Grounded Approach for Numerical Forecasting,"ABSTRACT Forecasting systems have a long tradition in providing outputs accompanied by explanations. While the vast majority of such explanations relies on inherently interpretable linear statistical models, research has put forth eXplainable Artificial Intelligence (XAI) methods to improve the comprehensibility of nonlinear machine learning models. As explanations related to forecasts constitute important building blocks in forecasting systems, the validation of explainer methods is an essential part of system selection, parameterization, and adoption. Current research on explainer method assessment focuses on metrics for classification rather than numerical forecasting and predominantly assesses explanation quality within time‐consuming, costly, and subjective studies involving humans. Given that the functional validation of explanations is of core interest to research on forecasting, our paper makes three contributions: First, we establish an approach for functionally grounded validations of explainer methods for numerical forecasting. Second, we propose computational rules for the metrics consistency, stability, and faithfulness. Third, we demonstrate our approach for the forecasting case of electricity demand estimation for energy benchmarks and compare a linear statistical approach with the state‐of‐the‐art XAI methods SHapley Additive exPlanations (SHAP), Local Interpretable Model‐agnostic Explanations (LIME), and Explainable Boosting Machine (EBM). Our work allows research and practice to validate and compare the quality of explainer methods on a functionally grounded level.",Journal of Forecasting,2026,1,"Haag, Felix; Hopf, Konstantin; Staake, Thorsten",https://doi.org/10.1002/for.70060,drop:no_volatility_term
crossref,10.1002/for.2996,Issue Information,No abstract is available for this article.,Journal of Forecasting,2024,0,,https://doi.org/10.1002/for.2996,drop:no_volatility_term
crossref,10.1002/for.2791,Issue Information,No abstract is available for this article.,Journal of Forecasting,2022,0,,https://doi.org/10.1002/for.2791,drop:no_volatility_term
crossref,10.1002/for.3162,Issue Information,No abstract is available for this article.,Journal of Forecasting,2025,0,,https://doi.org/10.1002/for.3162,drop:no_volatility_term
crossref,10.1002/for.2862,Issue Information,No abstract is available for this article.,Journal of Forecasting,2023,0,,https://doi.org/10.1002/for.2862,drop:no_volatility_term
crossref,10.1002/for.2604,A likelihood ratio and Markov chain‐based method to evaluate density forecasting,"Abstract In this paper, we propose a likelihood ratio‐based method to evaluate density forecasts, which can jointly evaluate the unconditional forecasted distribution and dependence of the outcomes. Unlike the well‐known Berkowitz test, the proposed method does not require a parametric specification of time dynamics. We compare our method with the method proposed by several other tests and show that our methodology has very high power against both dependence and incorrect forecasting distributions. Moreover, the loss of power, caused by the nonparametric nature of the specification of the dynamics, is shown to be small compared to the Berkowitz test, even when the parametric form of dynamics is correctly specified in the latter method.",Journal of Forecasting,2020,2,"Li, Yushu; Andersson, Jonas",https://doi.org/10.1002/for.2604,drop:no_volatility_term
crossref,10.1002/for.2793,Issue Information,No abstract is available for this article.,Journal of Forecasting,2022,0,,https://doi.org/10.1002/for.2793,drop:no_volatility_term
crossref,10.1002/for.2864,Issue Information,No abstract is available for this article.,Journal of Forecasting,2023,0,,https://doi.org/10.1002/for.2864,drop:no_volatility_term
crossref,10.1002/for.2991,Issue Information,No abstract is available for this article.,Journal of Forecasting,2024,0,,https://doi.org/10.1002/for.2991,drop:no_volatility_term
crossref,10.1002/for.2992,Issue Information,No abstract is available for this article.,Journal of Forecasting,2024,0,,https://doi.org/10.1002/for.2992,drop:no_volatility_term
crossref,10.1002/for.2990,Issue Information,No abstract is available for this article.,Journal of Forecasting,2024,0,,https://doi.org/10.1002/for.2990,drop:no_volatility_term
crossref,10.1002/for.2706,Issue Information,No abstract is available for this article.,Journal of Forecasting,2021,0,,https://doi.org/10.1002/for.2706,drop:no_volatility_term
crossref,10.1002/for.2863,Issue Information,No abstract is available for this article.,Journal of Forecasting,2023,0,,https://doi.org/10.1002/for.2863,drop:no_volatility_term
crossref,10.1002/for.2789,Issue Information,No abstract is available for this article.,Journal of Forecasting,2022,0,,https://doi.org/10.1002/for.2789,drop:no_volatility_term
crossref,10.1002/for.3144,Forecasting the direction of the Fed's monetary policy decisions using random forest,"Abstract The federal funds target rate is commonly considered to be an important indicator of the state of the US economy and is of keen interest to individual investors, financial firms, and other economic agents. In this paper, we focus on the discrete changes in the federal funds target rate during the period from January 1994 to June 2022 and apply the ordinal forest model, a random forest‐based prediction method for ordinal response variable. We examine the model's performance with 45 predictor variables which include macroeconomic and financial variables as well as forward‐looking survey measures. For an accurate and honest measure of the model performance, we employ single‐period‐ahead out‐of‐sample forecasting accuracy instead of evaluating the in‐sample fit. Our empirical results show the ordinal forest method significantly outperforms a benchmark that uses the most recent data among previous studies on federal funds target rate. We find that TB spread is the most informative from a forecasting perspective along with GDP, initial jobless claims, and survey measures.",Journal of Forecasting,2024,3,"Yoon, Jungyeon; Fan, Juanjuan",https://doi.org/10.1002/for.3144,drop:no_volatility_term
crossref,10.1002/for.2941,Forecasting inflation in open economies: What can a NOEM model do?,"Abstract This paper evaluates the forecasting ability when inflation is viewed as an inherently global phenomenon through the lens of the workhorse New Open Economy Macro (NOEM) model. The NOEM model emphasizes the importance of cross‐country spillovers arising through trade, and its reduced form solution can be represented by a finite‐order VAR that provides a tractable model of inflation forecasting. We use Bayesian techniques to estimate this VAR specification—we name it NOEM‐BVAR—and pseudo‐out‐of‐sample forecasts to assess its forecasting performance at different horizons in a diverse set of 18 countries. On average, the NOEM‐BVAR specification produces a similar or even lower root mean square prediction error (RMSPE) than its standard competitors, which include both purely statistical models and theoretically‐based forecasting models (e.g., Phillips‐curve‐type alternatives and others with global inflation measures). In a number of cases, the gains in smaller RMSPEs are statistically significant, especially at short horizons. The NOEM‐BVAR model is also accurate in predicting the direction of change for inflation and is often better than its competitors along this dimension as well. Even though purely statistical models can be useful as prediction tools, the NOEM‐BVAR is an attractive tool among those forecasting models motivated by economic theory.",Journal of Forecasting,2023,5,"Duncan, Roberto; Martínez‐García, Enrique",https://doi.org/10.1002/for.2941,drop:no_volatility_term
crossref,10.1002/for.3260,Modeling and Forecasting the CBOE VIX With the TVP‐HAR Model,"ABSTRACT This study proposes the use of a heterogeneous autoregressive model with time‐varying parameters (TVP‐HAR) to model and forecast the Chicago Board Options Exchange (CBOE) volatility index (VIX). To demonstrate the superiority of the TVP‐HAR model, we consider six variations of the model with different bandwidths and smoothing variables and include the constant‐coefficient HAR model as a benchmark for comparison. We show that the TVP‐HAR models could beat the HAR model with constant coefficients in modeling and forecasting VIX. Among the TVP‐HAR models, the rule‐of‐thumb bandwidth would be better than the cross‐validation bandwidth. Meanwhile, VIX futures‐driven coefficients could also provide more accurate predictions and smaller capital losses than the other two variables. Overall, the VIX futures‐driven coefficients TVP‐HAR model with the rule‐of‐thumb bandwidth obtains the optimal result for investors in forecasting the market risks and shaping their hedging strategies.",Journal of Forecasting,2025,0,"Xu, Wen; Aschakulporn, Pakorn; Zhang, Jin E.",https://doi.org/10.1002/for.3260,pass
crossref,10.1002/for.3248,A Review of Methods for Long‐Term Electric Load Forecasting,"ABSTRACT Long‐term load forecasting (LTLF) has been a fundamental least‐cost planning tool for electric utilities. In the past, utilities were monopolies and paid less attention to uncertainty in their LTLF methodologies. Nowadays, such casualness is pricey in competitive markets because utilities need to examine the financial implications of forecast uncertainty for survival. Hence, the aim of this paper is to critique the LTLF research trends with a focus on uncertainty quantification (UQ). For this purpose, we examined 40 LTLF articles published between January 2003 and February 2021. We found that UQ is a nascent area of LTLF research. Our review found two approaches to UQ in LTLF: probabilistic scenario analysis and direct probabilistic methods. The former approach is more helpful to risk analysts but has major caveats in addressing interdependencies of socioeconomic and climate scenarios. We identified very little LTLF research that examines uncertainties associated with climate extremes, distributed generation resources, and demand‐side management. Lastly, there is enormous potential for mitigating financial risks by embracing asymmetric cost functions in LTLF research. Future LTLF researchers can work on these identified gaps to help utilities in risk estimation, cost‐reliability balancing, and estimation of reserve margin under climate change.",Journal of Forecasting,2025,6,"Aditya, Thangjam; Jaipuria, Sanjita; Kumar Dadabada, Pradeep",https://doi.org/10.1002/for.3248,drop:no_volatility_term
crossref,10.1002/for.2927,Reference class selection in similarity‐based forecasting of corporate sales growth,"Abstract This paper proposes a general method to handle forecasts exposed to behavioral bias by finding appropriate outside views, in our case corporate sales forecasts of analysts. The idea is to find reference classes, that is, peer groups, for each analyzed company separately that share similarities to the firm of interest with respect to a specific predictor. The classes are regarded to be optimal if the forecasted sales distributions match the actual distributions as closely as possible. The forecast quality is measured by applying goodness‐of‐fit tests on the estimated probability integral transformations and by comparing the predicted quantiles. The method is out‐of‐sample backtested on a data set consisting of 21,808 US firms over the time period 1950–2019, which is also descriptively analyzed. It appears that, in particular, the past operating margins are good predictors for the distribution of future sales. A case study compares the outside view of our distributional forecasts with actual analysts' forecasts and emphasizes the relevance of our approach in practice.",Journal of Forecasting,2023,2,"Theising, Etienne; Wied, Dominik; Ziggel, Daniel",https://doi.org/10.1002/for.2927,drop:no_volatility_term
crossref,10.1002/for.2702,Issue Information,No abstract is available for this article.,Journal of Forecasting,2021,0,,https://doi.org/10.1002/for.2702,drop:no_volatility_term
crossref,10.1002/for.2703,Issue Information,No abstract is available for this article.,Journal of Forecasting,2021,0,,https://doi.org/10.1002/for.2703,drop:no_volatility_term
crossref,10.1002/for.3161,Issue Information,No abstract is available for this article.,Journal of Forecasting,2025,0,,https://doi.org/10.1002/for.3161,drop:no_volatility_term
crossref,10.1002/for.3051,Forecasting air passenger travel: A case study of Norwegian aviation industry,"Abstract Accurate forecasting of airline passenger traffic is important for facilitating the effective management and planning of aviation resources. In this study, we explore the air passenger traffic in the Norwegian aviation industry by collecting the passenger flow data and the corresponding measurements of the weather conditions affecting the flow from the different airports in Norway. We then proposed nonlinear autoregressive with exogenous input (NARX) forecasting models to predict air passenger traffic in advance. The NARX models account for the nonlinearity and nonstationarity in the passenger flow and allow the accurate forecasting of air passenger traffic. We perform experiments to demonstrate the effectiveness of two variants of the NARX model and compare their performances against long short‐term memory (LSTM), a deep learning method. We show that the proposed NARX model achieves the best prediction accuracy compared to LSTM, which is considered as a state‐of‐the‐art approach for fitting sequential data.",Journal of Forecasting,2024,11,"Anupam, Angesh; Lawal, Isah A.",https://doi.org/10.1002/for.3051,drop:no_volatility_term
crossref,10.1002/for.2910,Forecasting inflation and output growth with credit‐card‐augmented Divisia monetary aggregates,"Abstract This paper investigates the performance of the credit‐card‐augmented Divisia monetary aggregates in forecasting US inflation and output growth at the 12‐month horizon. We compute recursive and rolling out‐of‐sample forecasts using an autoregressive distributed lag model based on Divisia monetary aggregates. We use the three available versions of those monetary aggregate indices, including the original Divisia aggregates, the credit card‐augmented Divisia, and the credit‐card‐augmented Divisia inside money aggregates. The source of each is the Center for Financial Stability. We find that the smallest root mean square forecast errors are attained with the credit‐card‐augmented Divisia indices used as the forecast indicators. We also consider Bayesian vector autoregression for forecasting annual inflation and output growth.",Journal of Forecasting,2023,8,"Barnett, William A.; Park, Sohee",https://doi.org/10.1002/for.2910,drop:no_volatility_term
